name,calories,protein,carbohydrates,fiber,fat,sugar,sodium,serving_size,single_unit_size,unit,unit_to_gm
Potato,77,2.0,17.5,2.2,0.1,0.8,6,150,150,unit,150
Onion,40,1.1,9.3,1.7,0.1,4.2,4,110,110,unit,110
Tomato,18,0.9,3.9,1.2,0.2,2.6,5,100,50,unit,50
Brinjal,25,1.0,5.9,3.0,0.2,3.5,2,80,80,unit,80
Cauliflower,25,1.9,5.0,2.0,0.3,2.0,30,90,90,unit,90
Cabbage,25,1.3,5.8,2.5,0.1,3.2,18,80,80,unit,80
Carrot,41,0.9,9.6,2.8,0.2,4.7,69,60,60,unit,60
Spinach,23,2.9,3.6,2.2,0.4,0.4,79,50,50,unit,50
Bitter Gourd,17,1.0,3.7,2.8,0.2,0.3,5,100,100,unit,100
Bottle Gourd,15,0.6,3.4,0.6,0.1,1.0,2,150,150,unit,150
Ridge Gourd,20,0.9,4.2,1.3,0.2,2.5,3,130,130,unit,130
Ivy Gourd,21,1.0,4.1,1.6,0.2,1.5,4,60,60,unit,60
Drumstick,37,2.1,8.5,3.2,0.5,1.4,42,20,20,unit,20
Pumpkin,26,1.0,6.5,0.5,0.1,2.8,1,120,120,unit,120
Ladyfinger,33,2.0,7.5,3.2,0.2,1.5,8,80,80,unit,80
Peas,81,5.4,14.5,5.1,0.4,5.7,5,60,60,unit,60
Beetroot,43,1.6,9.6,2.8,0.2,6.8,78,80,80,unit,80
Radish,16,0.7,3.4,1.6,0.1,1.9,39,100,100,unit,100
Turnip,28,0.9,6.4,1.8,0.1,3.8,67,120,120,unit,120
Sweet Corn,86,3.2,19.0,2.7,1.2,6.3,15,90,90,unit,90
Garlic,149,6.4,33.1,2.1,0.5,1.0,17,5,5,unit,1
Ginger,80,1.8,17.8,2.0,0.8,1.7,13,10,10,unit,1
Coriander,23,2.1,3.7,2.8,0.5,0.9,46,10,10,unit,1
Fenugreek (Methi),49,4.4,6.0,1.1,0.6,0.0,50,50,50,unit,1
Amaranth (Chaulai),23,2.1,4.1,1.8,0.3,0.5,20,50,50,unit,1
Mustard Greens (Sarson),27,2.9,4.7,3.3,0.4,1.3,20,60,60,unit,1
Spring Onion,32,1.8,7.3,2.6,0.2,2.3,16,75,75,unit,1
Green Bell Pepper (Capsicum),20,0.9,4.6,1.7,0.2,2.4,3,120,120,unit,1
Red Bell Pepper,31,1.0,6.0,2.1,0.3,4.2,2,120,120,unit,1
Yellow Bell Pepper,27,1.0,6.3,0.9,0.2,3.5,2,120,120,unit,1
Broccoli,34,2.8,6.6,2.6,0.4,1.7,33,90,90,unit,1
Zucchini,17,1.2,3.1,1.0,0.3,2.0,8,120,120,unit,1
Celery,16,0.7,3.0,1.6,0.2,1.4,80,40,40,unit,1
Cucumber,16,0.7,3.6,0.5,0.1,1.7,2,150,150,unit,1
Lettuce,15,1.4,2.9,1.3,0.2,0.8,28,50,50,unit,1
Parsley,36,3.0,6.3,3.3,0.8,0.9,56,10,10,unit,1
Snake Gourd,18,1.0,4.0,1.5,0.1,1.3,4,100,100,unit,1
Ash Gourd (Petha),13,0.4,3.0,2.9,0.1,1.0,1,150,150,unit,1
Elephant Foot Yam (Suran),118,1.5,27.9,4.1,0.3,0.5,13,100,100,unit,1
Raw Banana,89,1.0,22.8,2.6,0.3,12.2,1,150,150,unit,1
Tinda (Round Gourd),21,1.2,4.1,1.8,0.1,2.4,3,100,100,unit,1
Kakdi,12,0.6,2.6,0.5,0.1,1.3,1,150,150,unit,1
Pointed Gourd (Parwal),20,1.5,4.0,2.0,0.2,2.0,5,80,80,unit,1
Broad Beans (Sem),42,2.5,7.5,3.2,0.3,1.8,6,60,60,unit,1
